Country,Region,Code,Date,Sex,Age,AgeInt,Cases,Deaths,Tests
Afghanistan,All,AF,2022-01-01,b,0,10,15391,339,5235
Brazil,All,AF,2022-01-01,b,0,10,12086,390,48854
Canada,All,AF,2022-01-01,b,0,10,16513,474,47344
Denmark,All,AF,2022-01-01,b,0,10,3153,200,34108
Egypt,All,AF,2022-01-01,b,0,10,4499,470,31924
Afghanistan,Urban,AF,2022-01-01,b,0,10,6111,451,9317
Brazil,Urban,AF,2022-01-01,b,0,10,17031,218,1328
Canada,Urban,AF,2022-01-01,b,0,10,2074,378,49304
Denmark,Urban,AF,2022-01-01,b,0,10,18916,295,45297
Egypt,Urban,AF,2022-01-01,b,0,10,19221,149,40933
Afghanistan,Rural,AF,2022-01-01,b,0,10,17290,320,37121
Brazil,Rural,AF,2022-01-01,b,0,10,11323,187,46067
Canada,Rural,AF,2022-01-01,b,0,10,18314,488,16057
Denmark,Rural,AF,2022-01-01,b,0,10,8836,261,34740
Egypt,Rural,AF,2022-01-01,b,0,10,7796,111,31167
Afghanistan,All,BR,2022-01-01,b,0,10,9803,365,3847
Brazil,All,BR,2022-01-01,b,0,10,18634,433,28418
Canada,All,BR,2022-01-01,b,0,10,2178,121,26995
Denmark,All,BR,2022-01-01,b,0,10,392,372,40834
Egypt,All,BR,2022-01-01,b,0,10,4192,406,11992
Afghanistan,Urban,BR,2022-01-01,b,0,10,12217,381,1750
Brazil,Urban,BR,2022-01-01,b,0,10,6285,443,40901
Canada,Urban,BR,2022-01-01,b,0,10,17481,151,11995
Denmark,Urban,BR,2022-01-01,b,0,10,18079,263,33880
Egypt,Urban,BR,2022-01-01,b,0,10,428,248,15320
Afghanistan,Rural,BR,2022-01-01,b,0,10,462,481,21529
Brazil,Rural,BR,2022-01-01,b,0,10,11022,469,32781
Canada,Rural,BR,2022-01-01,b,0,10,10120,403,33659
Denmark,Rural,BR,2022-01-01,b,0,10,7837,45,10927
Egypt,Rural,BR,2022-01-01,b,0,10,8360,182,32317
Afghanistan,All,CA,2022-01-01,b,0,10,15507,197,14273
Brazil,All,CA,2022-01-01,b,0,10,14617,141,8792
Canada,All,CA,2022-01-01,b,0,10,11414,386,1096
Denmark,All,CA,2022-01-01,b,0,10,15692,249,6755
Egypt,All,CA,2022-01-01,b,0,10,15804,305,46831
Afghanistan,Urban,CA,2022-01-01,b,0,10,12891,2,30529
Brazil,Urban,CA,2022-01-01,b,0,10,2952,31,2768
Canada,Urban,CA,2022-01-01,b,0,10,3272,104,37913
Denmark,Urban,CA,2022-01-01,b,0,10,7133,374,48352
Egypt,Urban,CA,2022-01-01,b,0,10,11701,68,11485
