Country,Region,Date,Sex,Age,Cases,Deaths,Tests,CFR
Canada,Urban,2022-01-01,m,0,1000,239,26704,23.9
Canada,Rural,2022-01-01,m,0,5850,346,40541,5.914529914529915
Canada,Urban,2022-01-01,m,0,1513,24,23200,1.5862524785194978
Canada,Rural,2022-01-01,m,0,14629,447,10587,3.0555745437145396
Canada,Urban,2022-01-01,m,0,5523,29,27726,0.5250769509324642
Canada,Rural,2022-01-01,m,0,783,134,8949,17.11366538952746
Canada,Urban,2022-01-01,m,0,1010,324,23488,32.07920792079208
Canada,Rural,2022-01-01,m,0,12903,204,46853,1.5810276679841897
Canada,Urban,2022-01-01,m,0,5652,145,16757,2.565463552724699
Canada,Rural,2022-01-01,m,0,4209,331,23243,7.864100736516988
Canada,Urban,2022-02-01,m,0,7863,266,1377,3.3829327228793082
Canada,Rural,2022-02-01,m,0,10886,64,3814,0.5879110784493846
Canada,Urban,2022-02-01,m,0,823,147,28198,17.861482381530987
Canada,Rural,2022-02-01,m,0,19614,305,26981,1.5550117263179362
Canada,Urban,2022-02-01,m,0,18723,231,19387,1.2337766383592372
Canada,Rural,2022-02-01,m,0,12332,404,39891,3.276029841063899
Canada,Urban,2022-02-01,m,0,11845,215,49003,1.8151118615449557
Canada,Rural,2022-02-01,m,0,18986,327,32862,1.7223217107342252
Canada,Urban,2022-02-01,m,0,5583,233,3641,4.173383485581229
Canada,Rural,2022-02-01,m,0,2542,71,25659,2.7930763178599527
Canada,Urban,2022-03-01,m,0,1670,128,28440,7.664670658682635
Canada,Rural,2022-03-01,m,0,15178,430,919,2.833047832388984
Canada,Urban,2022-03-01,m,0,7674,90,4141,1.1727912431587177
Canada,Rural,2022-03-01,m,0,11096,357,3071,3.217375630857967
Canada,Urban,2022-03-01,m,0,6247,445,49234,7.123419241235792
Canada,Rural,2022-03-01,m,0,17960,305,21556,1.6982182628062361
Canada,Urban,2022-03-01,m,0,7012,124,15573,1.7683970336565886
Canada,Rural,2022-03-01,m,0,17744,5,35393,0.0281785392245266
Canada,Urban,2022-03-01,m,0,17282,357,23501,2.065733132739266
Canada,Rural,2022-03-01,m,0,16773,78,7439,0.4650330888928635
Canada,Urban,2022-04-01,m,0,16714,43,29012,0.25726935503170995
Canada,Rural,2022-04-01,m,0,10836,99,47030,0.9136212624584719
Canada,Urban,2022-04-01,m,0,16502,317,36023,1.920979275239365
Canada,Rural,2022-04-01,m,0,2361,462,7342,19.567979669631512
Canada,Urban,2022-04-01,m,0,16244,360,49812,2.216202905688254
Canada,Rural,2022-04-01,m,0,5244,313,14663,5.968726163234173
Canada,Urban,2022-04-01,m,0,13794,406,39314,2.943308684935479
Canada,Rural,2022-04-01,m,0,6979,66,21909,0.9456942255337442
Canada,Rural,2022-04-01,m,0,4165,296,19394,7.106842737094837
Canada,Urban,2022-05-01,m,0,16897,256,11107,1.515061845297982
Canada,Rural,2022-05-01,m,0,10891,123,3075,1.129372876687173
Canada,Urban,2022-05-01,m,0,11012,166,49186,1.5074464220849981
